# n gamma re_zetaprime im_zetaprime
174 357.151302252 1.278308525810e+00 -8.802605442442e-01
175 357.952685102 1.112568275619e+00 1.458654710907e+00
176 359.743754953 3.711679986848e+00 1.739815586460e+00
177 361.289361696 4.923112290875e+00 2.380143938249e+00
178 363.331330579 4.303468605365e+00 -2.625368878092e+00
179 364.736024114 3.694084849539e+00 -9.719330878801e-01
180 366.212710288 3.685993535761e+00 -4.287735816034e-01
181 367.993575482 1.953640748072e+00 -1.325921474523e+00
182 368.968438096 1.710435504183e+00 1.074093109934e+00
183 370.050919212 2.942521702740e-01 3.987982463953e+00
184 373.061928372 2.378955277532e-01 -3.527126433063e+00
185 373.864873911 2.663261658363e+00 -4.930836619682e-03
186 375.825912767 9.208303039807e-01 -1.089812471680e+00
187 376.324092231 4.705904479984e-01 1.431059240239e+00
188 378.436680250 4.567050898950e+00 3.145593166515e-01
189 379.872975347 4.558891564424e+00 1.241644265740e+00
190 381.484468617 5.721774514802e+00 5.778659783757e-01
191 383.443529450 3.122731554514e+00 -3.104099833595e+00
192 384.956116815 1.544456757699e+00 -1.443620189874e+00
193 385.861300846 1.697250573933e+00 9.873160493155e-01
194 387.222890222 2.312029519009e+00 2.707479470649e+00
195 388.846128354 5.294274802329e+00 4.101538438055e+00
196 391.456083564 -4.758487380193e-02 -2.922092884855e+00
197 392.245083340 1.970226312134e+00 -1.499389897888e-01
198 393.427743844 2.566218363824e+00 1.832748433707e+00
199 395.582870011 1.975980927462e+00 -1.661214471358e+00
200 396.381854223 1.723603952304e+00 1.729923273911e+00
201 397.918736210 3.945286903411e+00 3.620735911900e+00
202 399.985119876 6.090144874128e+00 -2.608097949385e+00
203 401.839228601 1.339508795901e+00 -2.737556126105e+00
204 402.861917764 2.173595036117e+00 -2.204061870260e-01
205 404.236441800 2.081051230021e+00 3.783930345063e-01
206 405.134387460 3.771723835906e-01 3.143418804335e+00
207 407.581460387 5.230685739755e+00 -2.914759878738e+00
208 408.947245502 4.437644460115e+00 -9.793644648870e-01
209 410.513869193 3.724094940803e+00 -1.350969772738e+00
210 411.972267804 3.098507106464e+00 -8.090728947456e-01
211 413.262736070 3.140612577045e+00 5.913228580528e-01
212 415.018809755 1.521365764506e+00 -5.550136633007e-01
213 415.455214996 -5.781434257856e-01 1.826799638801e+00
214 418.387705790 2.499149288734e+00 -5.325589130937e+00
215 419.861364818 9.752008072805e-01 -1.848478437795e+00
216 420.643827625 1.724969169610e+00 7.536628293600e-01
217 422.076710059 2.922628662970e+00 1.753651953928e+00
218 423.716579627 4.236996069472e+00 9.952854690605e-01
